title,tokens,ttr,sentences,syllables,nouns,adjectives,adverbs,fk,death,fatigue,depression,indifference,from,to,date,year
001,570,0.5684210526315789,14.25,1.4473684210526316,0.5070175438596491,0.07368421052631578,0.02631578947368421,7.046447368421056,0.0017543859649122807,0.0017543859649122807,0.0017543859649122807,0.0,'Vincent van Gogh','Theo van Gogh','29-9-1872',1872
002,432,0.5833333333333334,15.428571428571429,1.2592592592592593,0.5370370370370371,0.08564814814814815,0.03935185185185185,5.286402116402119,0.0,0.0,0.0,0.0023148148148148147,'Vincent van Gogh','Theo van Gogh','13-12-1872',1872
003,1322,0.483,13.089108910891088,1.2806354009077157,0.5022692889561271,0.09304084720121028,0.04387291981845688,4.62625020595857,0.0007564296520423601,0.0,0.0007564296520423601,0.0,'Vincent van Gogh','Theo van Gogh','12-1873',1873
004,1254,0.514,12.294117647058824,1.335725677830941,0.49920255183413076,0.08931419457735247,0.045454545454545456,4.966268880758047,0.001594896331738437,0.0,0.001594896331738437,0.0,'Vincent van Gogh','Theo van Gogh','28-12-1873',1873
005,1628,0.44,13.344262295081966,1.2825552825552826,0.4735872235872236,0.08108108108108109,0.05835380835380835,4.748414629234304,0.0018427518427518428,0.0,0.0006142506142506142,0.0,'Vincent van Gogh','Theo van Gogh','17-3-1873',1873
006,405,0.5679012345679012,10.657894736842104,1.2864197530864196,0.5382716049382716,0.0691358024691358,0.05185185185185185,3.7463320337881747,0.0,0.0,0.0,0.0,'Vincent van Gogh','Theo van Gogh','24-3-1873',1873
007,549,0.581056466302368,12.477272727272727,1.2367941712204007,0.5664845173041895,0.10382513661202186,0.04189435336976321,3.870307584037093,0.00546448087431694,0.0,0.0,0.0,'Vincent van Gogh','Theo van Gogh','5-5-1873',1873
008,507,0.5502958579881657,13.702702702702704,1.2564102564102564,0.5226824457593688,0.05917159763313609,0.03550295857988166,4.579695079695082,0.0039447731755424065,0.0019723865877712033,0.0019723865877712033,0.0,'Vincent van Gogh','Theo van Gogh','9-5-1873',1873
009,1481,0.483,17.63095238095238,1.2788656313301823,0.46522619851451724,0.07292370020256583,0.05806887238352464,6.37668587826758,0.00337609723160027,0.0006752194463200541,0.002025658338960162,0.0006752194463200541,'Vincent van Gogh','Theo van Gogh','13-6-1873',1873
010,2788,0.543,24.03448275862069,1.2862266857962696,0.47812051649928267,0.08715925394548063,0.050573888091822096,8.960923168258052,0.007532281205164993,0.0003586800573888092,0.002152080344332855,0.0003586800573888092,'Vincent van Gogh','Willem van Stockum and Caroline van Stockum-Haanebeek','2-7-1873',1873
011,3940,0.501,17.43362831858407,1.3269035532994924,0.4921319796954315,0.08451776649746193,0.04949238578680203,6.8665769731818,0.006345177664974619,0.0005076142131979696,0.0015228426395939086,0.0005076142131979696,'Vincent van Gogh','Theo van Gogh','20-7-1873',1873
012,3088,0.572,19.180124223602483,1.3128238341968912,0.4326424870466321,0.11787564766839378,0.05278497409326425,7.381569690728284,0.003562176165803109,0.0006476683937823834,0.0029145077720207253,0.0006476683937823834,'Vincent van Gogh','Willem van Stockum and Caroline van Stockum-Haanebeek','7-8-1873',1873
013,1453,0.537,11.3515625,1.3840330350997936,0.4941500344115623,0.088093599449415,0.03716448726772195,5.168699189177566,0.0020646937370956643,0.0006882312456985547,0.0006882312456985547,0.0,'Vincent van Gogh','Theo van Gogh','13-9-1873',1873
014,2817,0.577,15.825842696629213,1.3425630102946398,0.4565140220092297,0.1104011359602414,0.043308484203052895,6.4243221731621425,0.004259850905218318,0.0,0.001774937877174299,0.0,'Vincent van Gogh','Willem van Stockum and Caroline van Stockum-Haanebeek','16-10-1873',1873
015,1793,0.459,17.076190476190476,1.3212493028443948,0.45844952593418853,0.09927495817066369,0.05075292805354155,6.660456059278147,0.004461795872838818,0.0005577244841048522,0.0,0.0005577244841048522,'Vincent van Gogh','Theo van Gogh','19-11-1873',1873
016,330,0.6606060606060606,10.3125,1.412121212121212,0.5333333333333333,0.11212121212121212,0.03939393939393939,5.0949053030303055,0.0030303030303030303,0.0,0.0,0.0,'Vincent van Gogh','Caroline van Stockum-Haanebeek','20-11-1873',1873
017,1309,0.501,15.045977011494253,1.3430099312452253,0.5301757066462949,0.09090909090909091,0.04965622612681436,6.12544822317642,0.0030557677616501145,0.0,0.0007639419404125286,0.0,'Vincent van Gogh','Theo van Gogh','11-1874',1874
018,446,0.6278026905829597,12.38888888888889,1.3856502242152466,0.5201793721973094,0.10986547085201794,0.06053811659192825,5.59233931240658,0.0,0.0,0.002242152466367713,0.0,'Vincent van Gogh','Caroline van Stockum-Haanebeek','9-2-1874',1874
019,1291,0.511,13.73404255319149,1.30286599535244,0.45933384972889235,0.08985282726568551,0.048024786986831915,5.140095340903475,0.003098373353989156,0.0,0.0,0.0023237800154918666,'Vincent van Gogh','Theo van Gogh','20-2-1874',1874
020,484,0.5867768595041323,13.08108108108108,1.3450413223140496,0.46487603305785125,0.07644628099173553,0.05785123966942149,5.383109224927406,0.0,0.0,0.0,0.0,'Vincent van Gogh','Willem van Stockum and Caroline van Stockum-Haanebeek','3-3-1874',1874
021,564,0.5478723404255319,14.461538461538462,1.2269503546099292,0.4929078014184397,0.1099290780141844,0.0425531914893617,4.528014184397168,0.0035460992907801418,0.0,0.0,0.0,'Vincent van Gogh','Theo van Gogh','30-3-1874',1874
022,1081,0.509,14.03896103896104,1.2858464384828863,0.47178538390379277,0.09343200740055504,0.061979648473635525,5.0581827792928635,0.0027752081406105457,0.0,0.0,0.0,'Vincent van Gogh','Theo van Gogh','30-4-1874',1874
023,635,0.5858267716535434,11.339285714285714,1.3559055118110237,0.5196850393700787,0.07874015748031496,0.031496062992125984,4.832006467941508,0.0015748031496062992,0.0,0.0,0.0,'Vincent van Gogh','Theo van Gogh','16-6-1874',1874
024,556,0.47302158273381295,13.9,1.2446043165467626,0.5089928057553957,0.08093525179856115,0.04136690647482014,4.517330935251799,0.0,0.0,0.0,0.0,'Vincent van Gogh','Betsy Tersteeg','7-7-1874',1874
025,301,0.6611295681063123,9.709677419354838,1.4119601328903655,0.5614617940199336,0.07308970099667775,0.05647840531561462,4.8579037616547005,0.006644518272425249,0.0,0.0,0.0,'Vincent van Gogh','Theo van Gogh','10-7-1874',1874
026,635,0.5606299212598426,14.767441860465116,1.3433070866141732,0.5275590551181102,0.08346456692913386,0.04409448818897638,6.020325947628642,0.004724409448818898,0.0,0.0,0.0,'Vincent van Gogh','Theo van Gogh','21-7-1874',1874
027,1616,0.512,17.010526315789473,1.286509900990099,0.4931930693069307,0.08663366336633663,0.05631188118811881,6.224922094841066,0.0018564356435643563,0.0,0.0006188118811881188,0.0006188118811881188,'Vincent van Gogh','Theo van Gogh','31-7-1874',1874
028,1206,0.534,13.108695652173912,1.335820895522388,0.49087893864013266,0.07960199004975124,0.0406301824212272,5.285077871512005,0.004975124378109453,0.0,0.001658374792703151,0.001658374792703151,'Vincent van Gogh','Theo van Gogh','10-8-1874',1874
029,1220,0.482,10.427350427350428,1.4418032786885246,0.5032786885245901,0.07540983606557378,0.031967213114754096,5.48994535519126,0.001639344262295082,0.0,0.000819672131147541,0.0,'Vincent van Gogh','Theo van Gogh','4-3-1875',1875
030,869,0.5535097813578826,16.39622641509434,1.3360184119677792,0.46490218642117376,0.09781357882623705,0.03567318757192175,6.569545563106587,0.0034522439585730723,0.0011507479861910242,0.0,0.0,'Vincent van Gogh','Theo van Gogh','6-3-1875',1875
031,855,0.5391812865497077,9.395604395604396,1.3391812865497077,0.5181286549707602,0.10877192982456141,0.03274853801169591,3.8766248955722666,0.0023391812865497076,0.0,0.0,0.0,'Vincent van Gogh','Theo van Gogh','6-4-1875',1875
032,918,0.6023965141612201,14.123076923076923,1.2777777777777777,0.5697167755991286,0.1056644880174292,0.032679738562091505,4.9957777777777785,0.0054466230936819175,0.0,0.0032679738562091504,0.0,'Vincent van Gogh','Theo van Gogh','13-4-1875',1875
033,1136,0.514,14.753246753246753,1.2975352112676057,0.4137323943661972,0.08714788732394366,0.06954225352112677,5.474681726723983,0.0017605633802816902,0.0,0.0008802816901408451,0.0,'Vincent van Gogh','Theo van Gogh','8-5-1875',1875
034,1000,0.527,9.345794392523365,1.362,0.582,0.091,0.03,4.126459813084114,0.003,0.0,0.001,0.0,'Vincent van Gogh','Theo van Gogh','31-5-1875',1875
035,840,0.5107142857142857,10.76923076923077,1.3773809523809524,0.5083333333333333,0.07380952380952381,0.04880952380952381,4.863095238095237,0.005952380952380952,0.0,0.0,0.0011904761904761906,'Vincent van Gogh','Theo van Gogh','19-6-1875',1875
036,1057,0.503,9.60909090909091,1.2876064333017976,0.5298013245033113,0.08609271523178808,0.03500473036896878,3.351301367506668,0.004730368968779565,0.000946073793755913,0.000946073793755913,0.0,'Vincent van Gogh','Theo van Gogh','29-6-1875',1875
037,1665,0.546,9.0,1.4228228228228228,0.572972972972973,0.08468468468468468,0.03303303303303303,4.709309309309312,0.0012012012012012011,0.0,0.0,0.0006006006006006006,'Vincent van Gogh','Theo van Gogh','6-7-1875',1875
038,1540,0.519,14.951456310679612,1.2993506493506493,0.4915584415584416,0.10194805194805195,0.04155844155844156,5.573405623502712,0.003896103896103896,0.0006493506493506494,0.0,0.0,'Vincent van Gogh','Theo van Gogh','15-7-1875',1875
039,775,0.5303225806451612,11.567164179104477,1.36,0.5896774193548387,0.07612903225806451,0.04,4.9691940298507475,0.0012903225806451613,0.0,0.0012903225806451613,0.0,'Vincent van Gogh','Theo van Gogh','24-7-1875',1875
040,1634,0.523,11.347222222222221,1.3518971848225214,0.5342717258261934,0.06976744186046512,0.03427172582619339,4.7878034475724185,0.0018359853121175031,0.0,0.0006119951040391676,0.0,'Vincent van Gogh','Theo van Gogh','13-8-1875',1875
041,1030,0.553,11.976744186046512,1.270873786407767,0.5223300970873787,0.08640776699029126,0.04466019417475728,4.077240912169792,0.001941747572815534,0.0,0.000970873786407767,0.0,'Vincent van Gogh','Theo van Gogh','16-8-1875',1875
042,1278,0.546,11.210526315789474,1.3693270735524257,0.5492957746478874,0.07668231611893583,0.033646322378716745,4.940164731076518,0.005477308294209703,0.0,0.003129890453834116,0.000782472613458529,'Vincent van Gogh','Theo van Gogh','2-9-1875',1875
043,470,0.6106382978723405,16.785714285714285,1.3382978723404255,0.5042553191489362,0.09361702127659574,0.05531914893617021,6.748343465045593,0.00425531914893617,0.0,0.0,0.0,'Vincent van Gogh','Egbert Borchers','2-9-1875',1875
044,474,0.569620253164557,13.542857142857143,1.390295358649789,0.5379746835443038,0.07172995780590717,0.04430379746835443,6.0971995177817995,0.010548523206751054,0.0,0.0,0.0,'Vincent van Gogh','Theo van Gogh','4-9-1875',1875
045,468,0.561965811965812,9.75,1.294871794871795,0.5128205128205128,0.10042735042735043,0.04700854700854701,3.491987179487179,0.010683760683760684,0.0,0.002136752136752137,0.0,'Theo van Gogh','Vincent van Gogh','7-9-1875',1875
046,631,0.5974643423137876,16.605263157894736,1.3438985736925515,0.5166402535657686,0.1045958795562599,0.060221870047543584,6.744055801151056,0.004754358161648178,0.0,0.00792393026941363,0.0,'Vincent van Gogh','Theo van Gogh','9-9-1875',1875
047,722,0.5872576177285319,10.46376811594203,1.293628808864266,0.5332409972299169,0.08587257617728532,0.037396121883656507,3.7556895098157312,0.0110803324099723,0.0,0.0013850415512465374,0.0,'Vincent van Gogh','Theo van Gogh','12-9-1875',1875
048,251,0.6733067729083665,13.210526315789474,1.4223107569721116,0.5936254980079682,0.0796812749003984,0.035856573705179286,6.345372195428816,0.02390438247011952,0.0,0.0,0.0,'Vincent van Gogh','Theo van Gogh','13-9-1875',1875
049,699,0.5379113018597997,12.051724137931034,1.2989985693848354,0.48068669527896996,0.09585121602288985,0.04864091559370529,4.438355532534164,0.008583690987124463,0.0,0.0,0.001430615164520744,'Vincent van Gogh','Theo van Gogh','17-9-1875',1875
050,1008,0.543,13.808219178082192,1.2609126984126984,0.4751984126984127,0.08928571428571429,0.044642857142857144,4.6739753207218975,0.002976190476190476,0.0,0.0,0.0,'Vincent van Gogh','Theo van Gogh','25-9-1875',1875
051,1001,0.476,8.204918032786885,1.2567432567432568,0.4835164835164835,0.08091908091908091,0.030969030969030968,2.4394884623573176,0.00999000999000999,0.0,0.001998001998001998,0.0,'Vincent van Gogh','Theo van Gogh','27-9-1875',1875
052,489,0.6319018404907976,11.642857142857142,1.294478527607362,0.49897750511247446,0.08588957055214724,0.06339468302658487,4.225560911481157,0.0081799591002045,0.0,0.002044989775051125,0.002044989775051125,'Vincent van Gogh','Theo van Gogh','29-9-1875',1875
053,558,0.5734767025089605,13.285714285714286,1.403225806451613,0.5609318996415771,0.06989247311827956,0.03763440860215054,6.149493087557605,0.0035842293906810036,0.0,0.0,0.0,'Vincent van Gogh','Theo van Gogh','30-9-1875',1875
054,2091,0.526,12.156976744186046,1.2812051649928264,0.4600669536107126,0.07699665231946437,0.058823529411764705,4.269441877147909,0.00430416068866571,0.0,0.004782400765184123,0.0,'Vincent van Gogh','Theo van Gogh','6-10-1875',1875
055,2231,0.559,12.970930232558139,1.3603765127745406,0.5150156880322725,0.09636934110264456,0.04078888390856118,5.521105641437256,0.004930524428507396,0.0,0.0,0.0,'Vincent van Gogh','Theo van Gogh','11-10-1875',1875
056,981,0.5147808358817533,21.32608695652174,1.3180428134556574,0.4536187563710499,0.1019367991845056,0.06320081549439348,8.280079111820239,0.0020387359836901123,0.0,0.0010193679918450561,0.0,'Vincent van Gogh','Theo van Gogh','14-10-1875',1875
057,588,0.5748299319727891,14.0,1.280612244897959,0.5289115646258503,0.10884353741496598,0.0663265306122449,4.981224489795917,0.0,0.0,0.0017006802721088435,0.0,'Vincent van Gogh','Theo van Gogh','9-11-1875',1875
058,527,0.6242884250474383,15.057142857142857,1.3055028462998102,0.4990512333965844,0.08918406072106262,0.04174573055028463,5.687219300623475,0.003795066413662239,0.0,0.0018975332068311196,0.0,'Vincent van Gogh','Theo van Gogh','15-11-1875',1875
059,605,0.5950413223140496,16.805555555555557,1.3355371900826447,0.5256198347107438,0.1024793388429752,0.06446280991735537,6.723505509641878,0.001652892561983471,0.0,0.0,0.0,'Vincent van Gogh','Theo van Gogh','4-12-1875',1875
060,764,0.5575916230366492,13.403508771929825,1.2827225130890052,0.4856020942408377,0.0968586387434555,0.03795811518324607,4.773494075502896,0.002617801047120419,0.0,0.0,0.0,'Vincent van Gogh','Theo van Gogh','9-12-1875',1875
061,958,0.6043841336116911,14.515151515151516,1.3402922755741127,0.5532359081419624,0.10334029227557412,0.04175365344467641,5.88635794268362,0.003131524008350731,0.0,0.0,0.0,'Vincent van Gogh','Theo van Gogh','10-12-1875',1875
062,898,0.5178173719376392,12.472222222222221,1.329621380846325,0.5033407572383074,0.10244988864142539,0.05790645879732739,4.9636989606533035,0.01002227171492205,0.0,0.0,0.0,'Vincent van Gogh','Theo van Gogh','13-12-1875',1875
063,317,0.5993690851735016,9.90625,1.384858044164038,0.555205047318612,0.11356466876971609,0.056782334384858045,4.614762421135648,0.0,0.0031545741324921135,0.0031545741324921135,0.0,'Willemien van Gogh','Vincent van Gogh','19-12-1875',1875
064,550,0.5836363636363636,14.864864864864865,1.3745454545454545,0.5,0.09454545454545454,0.04727272727272727,6.426933660933663,0.0,0.0,0.0,0.0,'Anna van Gogh','Vincent van Gogh','30-12-1875',1875
065,1350,0.496,17.763157894736842,1.2474074074074073,0.35185185185185186,0.07185185185185185,0.07925925925925927,6.057038986354776,0.0022222222222222222,0.0,0.0022222222222222222,0.0,'Vincent van Gogh','Theo van Gogh','10-12-1876',1876
066,1585,0.464,16.68421052631579,1.3173501577287066,0.4694006309148265,0.08895899053627761,0.03596214511041009,6.461573966461895,0.0031545741324921135,0.0,0.0006309148264984228,0.0012618296529968455,'Vincent van Gogh','Theo van Gogh','17-12-1876',1876
067,895,0.5441340782122905,13.984375,1.3284916201117318,0.4681564245810056,0.07932960893854749,0.053631284916201116,5.540107367318438,0.004469273743016759,0.0,0.0011173184357541898,0.0,'Vincent van Gogh','Theo van Gogh','24-12-1876',1876
068,502,0.6434262948207171,11.155555555555555,1.3964143426294822,0.5517928286852589,0.08964143426294821,0.029880478087649404,5.238355909694555,0.00597609561752988,0.0,0.0,0.0,'Vincent van Gogh','Theo van Gogh','2-2-1876',1876
069,835,0.48982035928143713,13.46774193548387,1.2718562874251498,0.4538922155688623,0.07425149700598803,0.03592814371257485,4.670323546455478,0.009580838323353293,0.0,0.0023952095808383233,0.0,'Vincent van Gogh','Theo van Gogh','7-2-1876',1876
070,1142,0.544,14.098765432098766,1.3730297723292468,0.4886164623467601,0.08756567425569177,0.04903677758318739,6.110269832003635,0.006129597197898424,0.0,0.0008756567425569177,0.0,'Vincent van Gogh','Theo van Gogh','19-2-1876',1876
071,836,0.5645933014354066,12.115942028985508,1.326555023923445,0.4964114832535885,0.0861244019138756,0.045454545454545456,4.788566673601,0.004784688995215311,0.0,0.0011961722488038277,0.0,'Vincent van Gogh','Theo van Gogh','15-3-1876',1876
072,838,0.5608591885441527,14.448275862068966,1.3329355608591886,0.5,0.10501193317422435,0.034606205250596656,5.773467204345323,0.0011933174224343676,0.0,0.0,0.0011933174224343676,'Vincent van Gogh','Theo van Gogh','23-3-1876',1876
073,1012,0.514,14.457142857142857,1.3784584980237153,0.5049407114624506,0.09090909090909091,0.03458498023715415,6.3140959909655585,0.004940711462450593,0.0,0.0009881422924901185,0.0,'Vincent van Gogh','Theo van Gogh','28-3-1876',1876
074,1750,0.46,12.411347517730496,1.3,0.4942857142857143,0.08685714285714285,0.038285714285714284,4.590425531914896,0.0017142857142857142,0.0,0.0017142857142857142,0.0,'Vincent van Gogh','Theo van Gogh','4-4-1876',1876
075,259,0.5907335907335908,10.36,1.2664092664092663,0.38223938223938225,0.0694980694980695,0.06177606177606178,3.394029343629345,0.0,0.0,0.0,0.0,'Vincent van Gogh','Theodorus van Gogh and Anna van Gogh-Carbentus','17-4-1876',1876
076,2584,0.463,14.765714285714285,1.2836687306501549,0.43227554179566563,0.11145510835913312,0.04256965944272446,5.3159195931004,0.0042569659442724455,0.0003869969040247678,0.005417956656346749,0.0007739938080495357,'Vincent van Gogh','Theodorus van Gogh and Anna van Gogh-Carbentus','17-4-1876',1876
077,631,0.589540412044374,12.62,1.3708399366085577,0.47702060221870046,0.10776545166402536,0.042789223454833596,5.507711251980982,0.003169572107765452,0.0,0.0,0.0,'Vincent van Gogh','Theo van Gogh','17-4-1876',1876
078,1355,0.497,15.224719101123595,1.2723247232472326,0.4664206642066421,0.0981549815498155,0.04059040590405904,5.3610721837555495,0.002952029520295203,0.0,0.0,0.0,'Vincent van Gogh','Theo van Gogh','21-4-1876',1876
079,993,0.540785498489426,16.83050847457627,1.3212487411883183,0.44813695871097686,0.10876132930513595,0.045317220543806644,6.5646334511069035,0.006042296072507553,0.0,0.0,0.0,'Vincent van Gogh','Theo van Gogh','28-4-1876',1876
080,1036,0.512,18.836363636363636,1.3137065637065637,0.4411196911196911,0.09942084942084942,0.04826254826254826,7.25791926991927,0.003861003861003861,0.0,0.0,0.0,'Vincent van Gogh','Theo van Gogh','1-5-1876',1876
081,899,0.5283648498331479,20.906976744186046,1.3481646273637375,0.4660734149054505,0.10233592880978866,0.058954393770856504,8.472063533124661,0.0055617352614015575,0.0,0.0011123470522803114,0.0,'Vincent van Gogh','Theo van Gogh','6-5-1876',1876
082,1340,0.544,13.137254901960784,1.3634328358208956,0.4798507462686567,0.09328358208955224,0.04253731343283582,5.622036874451272,0.0037313432835820895,0.0007462686567164179,0.0007462686567164179,0.0007462686567164179,'Vincent van Gogh','Theo van Gogh','12-5-1876',1876
083,1391,0.522,18.064935064935064,1.2537742631200575,0.4507548526240115,0.09130122214234364,0.040258806613946804,6.249860980141353,0.006470165348670022,0.0007189072609633358,0.002875629043853343,0.0,'Vincent van Gogh','Theo van Gogh','31-5-1876',1876
084,2704,0.436,18.52054794520548,1.3128698224852071,0.43306213017751477,0.10096153846153846,0.04918639053254438,7.124877603955582,0.004437869822485207,0.0003698224852071006,0.0003698224852071006,0.0,'Vincent van Gogh','Theo van Gogh','17-6-1876',1876
085,3289,0.467,11.746428571428572,1.3910003040437824,0.46336272423228947,0.09516570386135603,0.042566129522651264,5.404910730573775,0.006688963210702341,0.0006080875646093037,0.0015202189115232593,0.0,'Vincent van Gogh','Theo van Gogh','3-7-1876',1876
086,1273,0.512,16.11392405063291,1.342498036135114,0.45011783189316573,0.07541241162608013,0.056559308719560095,6.535907206141179,0.006284367635506678,0.0,0.0,0.0,'Vincent van Gogh','Theo van Gogh','8-7-1876',1876
087,6797,0.436,19.991176470588236,1.2100926879505665,0.4340150066205679,0.07473885537737238,0.030454612328968664,6.485652541346099,0.006914815359717523,0.0,0.0014712373105781962,0.0,'Vincent van Gogh','Theo van Gogh','2-8-1876',1876
088,2665,0.455,15.316091954022989,1.3035647279549718,0.44690431519699814,0.09380863039399624,0.04765478424015009,5.765339651937634,0.007879924953095686,0.0,0.00150093808630394,0.0,'Vincent van Gogh','Theo van Gogh','18-8-1876',1876
